set,idx,category,layer,proj_S1,proj_S2
S1_3P,57,C2,18,-11.073666332633028,-7.8603877364601935
S1_3P,57,C2,19,-8.639760854521656,-15.191111830348746
S1_3P,57,C2,20,-20.42698572541527,-25.233172201001263
S1_3P,57,C2,21,-28.495316905258488,-33.59947230330367
S1_3P,57,C2,22,-27.958347592518432,-32.6319361214739
S1_3P,57,C2,23,-25.688505944057887,-35.32658260816896
S1_3P,57,C2,24,-27.83805927664669,-47.03547235781891
S1_3P,58,D,0,-0.6957784287666635,-1.7599183209850904
S1_3P,58,D,1,-0.253505529563026,-1.223391719070401
S1_3P,58,D,2,-0.9327887880866698,-1.9834412210799193
S1_3P,58,D,3,-0.3157932224558502,-2.347780103767543
S1_3P,58,D,4,0.1726945581849425,-3.8979366712695476
S1_3P,58,D,5,-1.455215041568704,-2.1264985866011035
S1_3P,58,D,6,-3.6385184117745455,-3.0619414773284643
S1_3P,58,D,7,-6.973289677247288,-4.071494599381234
S1_3P,58,D,8,-5.85302432005248,-3.9436460985466977
S1_3P,58,D,9,-9.541601209356795,-2.409494501541965
S1_3P,58,D,10,-11.338945021383257,-2.4616874044699832
S1_3P,58,D,11,-6.633782236726557,-2.7150429071124016
S1_3P,58,D,12,-6.502680697190555,-5.810149448879113
S1_3P,58,D,13,-5.617209868087421,-10.912823116118565
S1_3P,58,D,14,-5.955401018056866,-8.785929007241622
S1_3P,58,D,15,-7.576029642295305,-10.370601229599172
S1_3P,58,D,16,-7.2934483441674205,-7.034202836522382
S1_3P,58,D,17,-5.1966079626109085,-3.8543300597835466
S1_3P,58,D,18,-8.483898979828835,-4.729002888846397
S1_3P,58,D,19,-8.678544227657424,-12.72332801293884
S1_3P,58,D,20,-21.94366986777786,-24.039145303390782
S1_3P,58,D,21,-28.930640830420476,-34.07813005519233
S1_3P,58,D,22,-26.594283235451424,-31.521996655226502
S1_3P,58,D,23,-26.429435332084253,-36.38551118469627
S1_3P,58,D,24,-28.091866006876526,-45.096621838587495
S1_3P,59,E,0,-0.7496437379749161,-1.353159986808143
S1_3P,59,E,1,-0.481516974834732,-0.9204734672405084
S1_3P,59,E,2,-1.3955745489416214,-1.9444898657339684
S1_3P,59,E,3,-0.6476579195128187,-2.260459675828679
S1_3P,59,E,4,-1.150231564205745,-3.189553657003346
S1_3P,59,E,5,-1.7435409390993515,-0.823674539371293
S1_3P,59,E,6,-3.648601371543431,-1.5621684342668087
S1_3P,59,E,7,-8.059720609968256,-3.2145192010862393
S1_3P,59,E,8,-7.743148099612069,-2.269033285859039
S1_3P,59,E,9,-12.19468690919681,-2.3433007110690243
S1_3P,59,E,10,-14.953569836515744,-2.37206211388298
S1_3P,59,E,11,-11.015667170132694,-3.1883838542211627
S1_3P,59,E,12,-10.652903831397118,-6.348286934760362
S1_3P,59,E,13,-10.852292617487743,-13.543558328116507
S1_3P,59,E,14,-11.571314786019153,-10.328409935803805
S1_3P,59,E,15,-13.278533382242557,-11.90912711400798
S1_3P,59,E,16,-13.273797425791354,-9.349665254201305
S1_3P,59,E,17,-11.799008786820444,-6.7505192488749675
S1_3P,59,E,18,-13.938773730673109,-5.6580698161160585
S1_3P,59,E,19,-12.33908859961036,-12.517741826924087
S1_3P,59,E,20,-22.044512089860675,-22.626136477251094
S1_3P,59,E,21,-26.702494703249883,-28.176445821006297
S1_3P,59,E,22,-24.321398137101035,-25.861759214846344
S1_3P,59,E,23,-21.968159997515777,-28.041239648039454
S1_3P,59,E,24,-23.372026102750358,-32.8289679489474
S1_3P,60,A1,0,-0.6147707959825395,-1.3103544111815357
S1_3P,60,A1,1,-0.45313273366980467,-0.7296997272220642
S1_3P,60,A1,2,-1.1881756608475122,-1.6237895261215234
S1_3P,60,A1,3,-0.32860212940594785,-1.6584630965020177
S1_3P,60,A1,4,-0.45093242688456947,-2.655025446769309
S1_3P,60,A1,5,-1.4744871811346916,-0.39185722385332833
S1_3P,60,A1,6,-3.5644204113229163,-0.7565867267095838
S1_3P,60,A1,7,-6.708178172105418,-2.1605626534118727
S1_3P,60,A1,8,-5.902843065386314,-1.8136565385168337
S1_3P,60,A1,9,-9.922832436485752,-1.6798526950926476
