outcome,role,condition,stat,est,ci_lo,ci_hi,p_perm_item,p_exact_category,welch_ci95_lo,welch_ci95_hi
z_fear,secondary,moderator_next,delta_suffer,-0.5524111766154756,-0.701125404842051,-0.40975163706294354,,0.007936507936507936,-0.8205547178102386,-0.2842676354207123
z_fear,secondary,moderator_next,I,0.24953424752778097,0.07180471377125221,0.4223318301148735,0.0110988901109889,0.08791208791208792,0.002235080572232845,0.4968334144833293
z_negemo,secondary,user_next,mean_harm_to_model,0.9787391390188798,0.9098796997146718,1.0420133049583744,,,,
z_negemo,secondary,user_next,mean_user_suffering,1.0923885722329192,1.0001565596208781,1.179496028009836,,,,
z_negemo,secondary,user_next,mean_neutral,1.3215528309315665,1.2785536134103326,1.365233406718804,,,,
z_negemo,secondary,user_next,delta_harm,-0.34281369191268674,-0.423616126132199,-0.2661203594436567,,0.0013736263736263737,-0.4901393577243236,-0.1954880261010494
z_negemo,secondary,user_next,delta_suffer,-0.22916425869864732,-0.3313933451041176,-0.1314000824389014,,0.015873015873015872,-0.3853990413067998,-0.0729294760904948
z_negemo,secondary,user_next,I,0.11364943321403942,-0.0004201471366974268,0.2243626383752225,0.050094990500949906,0.2419871794871795,-0.06036768805186532,0.2876665544799437
z_negemo,secondary,moderator_next,mean_harm_to_model,0.6332071816389215,0.4983204937271591,0.7539957868720208,,,,
z_negemo,secondary,moderator_next,mean_user_suffering,0.940533661353239,0.780657028306102,1.0903624610471114,,,,
z_negemo,secondary,moderator_next,mean_neutral,1.1810273824678021,1.1424122790724176,1.218859686845003,,,,
z_negemo,secondary,moderator_next,delta_harm,-0.5478202008288806,-0.6881644021353982,-0.4205140444590259,,0.0009157509157509158,-0.8068759696022954,-0.2887644320554652
z_negemo,secondary,moderator_next,delta_suffer,-0.24049372111456313,-0.406116448901872,-0.08559990035908607,,0.023809523809523808,-0.4810161273078709,2.868507874487225e-05
z_negemo,secondary,moderator_next,I,0.3073264797143175,0.10362743472795255,0.5062021100493629,0.0044995500449955,0.07028388278388278,0.020664302236779786,0.5939886571918547
z_sadness,secondary,user_next,mean_harm_to_model,-2.437044489068575,-2.5963186825664963,-2.28000806020725,,,,
z_sadness,secondary,user_next,mean_user_suffering,-2.8149643152364403,-3.0127035154840387,-2.6091305110185252,,,,
z_sadness,secondary,user_next,mean_neutral,-4.485234161412378,-4.681407999835564,-4.293093167827724,,,,
z_sadness,secondary,user_next,delta_harm,2.0481896723438027,1.7961671381178599,2.298907726312823,,0.00022893772893772894,0.6391102373559503,3.4572691073316566
z_sadness,secondary,user_next,delta_suffer,1.6702698461759375,1.3918543417372369,1.9550902772095962,,0.007936507936507936,0.2544868229843953,3.08605286936748
z_sadness,secondary,user_next,I,-0.3779198261678651,-0.630761699667728,-0.11288067489699112,0.03569643035696431,0.06341575091575091,-0.693139961463809,-0.06269969087192301
z_sadness,secondary,moderator_next,mean_harm_to_model,-4.208502428498926,-4.314616569667505,-4.097710078279597,,,,
z_sadness,secondary,moderator_next,mean_user_suffering,-4.605450473033044,-4.748597755421532,-4.45768901586736,,,,
z_sadness,secondary,moderator_next,mean_neutral,-4.986579928337729,-5.136680153532942,-4.835491035807572,,,,
z_sadness,secondary,moderator_next,delta_harm,0.7780774998388029,0.5955914462037886,0.963084367471933,,0.026327838827838828,-0.4181665497971032,1.974321549474702
z_sadness,secondary,moderator_next,delta_suffer,0.3811294553046851,0.1726932617561538,0.5873426742038664,,0.4126984126984127,-0.8074097821319024,1.5696686927412673
z_sadness,secondary,moderator_next,I,-0.3969480445341178,-0.5762287522811311,-0.21842623570184597,0.0006999300069993001,0.032280219780219783,-0.7890308046682128,-0.004865284400020986
cos_pain,secondary,user_next,mean_harm_to_model,1.7567083321311516,1.6658483111316833,1.846349069821765,,,,
cos_pain,secondary,user_next,mean_user_suffering,1.9284586275926912,1.8171701563141645,2.0391477295938913,,,,
cos_pain,secondary,user_next,mean_neutral,1.7787478772885663,1.6944179552909495,1.8663043212638428,,,,
cos_pain,secondary,user_next,delta_harm,-0.022039545157414686,-0.1478558529762079,0.10259022970556474,,0.8983516483516484,-0.37100826960016636,0.326929179285337
cos_pain,secondary,user_next,delta_suffer,0.14971075030412484,0.012116277552064143,0.28787473100881505,,0.38095238095238093,-0.21425174050283396,0.5136732411110836
