outcome,role,condition,stat,est,ci_lo,ci_hi,p_perm_item,p_exact_category,welch_ci95_lo,welch_ci95_hi
cos_pain,secondary,moderator_next,I,0.044643706534255756,-0.09258635633889634,0.18583007359371728,0.5214478552144786,0.704441391941392,-0.2675404082365045,0.3568278213050142
act_norm,secondary,user_next,mean_harm_to_model,-6.690414671464401,-7.298903410651468,-6.0628889569369235,,,,
act_norm,secondary,user_next,mean_user_suffering,-9.24897346496582,-9.922860116958617,-8.545456220626829,,,,
act_norm,secondary,user_next,mean_neutral,-6.744325561523437,-7.3617654819488525,-6.149476537704469,,,,
act_norm,secondary,user_next,delta_harm,0.053910890059036376,-0.7919671145352434,0.9235166026028709,,0.945054945054945,-1.377079165166319,1.4849009452843953
act_norm,secondary,user_next,delta_suffer,-2.5046479034423825,-3.3990486984252932,-1.5709236888885498,,0.007936507936507936,-3.88349596679784,-1.1257998400869285
act_norm,secondary,user_next,I,-2.558558793501419,-3.4931652988087034,-1.6499959539933633,9.999000099990002e-05,0.007097069597069597,-4.048058669730898,-1.069058917271947
act_norm,secondary,moderator_next,mean_harm_to_model,-0.5179228349165491,-1.2019872205907656,0.21721175367181858,,,,
act_norm,secondary,moderator_next,mean_user_suffering,-2.936679687500001,-3.6954577140808107,-2.1163825950622575,,,,
act_norm,secondary,moderator_next,mean_neutral,-5.216358795166014,-5.624251276016236,-4.791221761703492,,,,
act_norm,secondary,moderator_next,delta_harm,4.698435960249466,3.91188789766485,5.527022025195033,,0.00022893772893772894,3.225744098814649,6.171127821684282
act_norm,secondary,moderator_next,delta_suffer,2.2796791076660132,1.4342116355895984,3.188000036239624,,0.023809523809523808,0.7279102321884923,3.8314479831435353
act_norm,secondary,moderator_next,I,-2.418756852583452,-3.476768732764503,-1.3572591081099061,9.999000099990002e-05,0.013736263736263736,-4.005571512335379,-0.8319421928315243
