set,idx,category,layer,proj_S1,proj_S2
S1_1P,3,A4,24,-33.03066931880893,4.0489891041712385
S1_1P,3,A4,25,-14.92938714776351,52.43636060611467
S1_1P,4,A5,0,2.7934769197867197,0.519896007197896
S1_1P,4,A5,1,-1.0219629939807224,2.1989562047380042
S1_1P,4,A5,2,3.3598465912540516,8.406998178780118
S1_1P,4,A5,3,-5.519284269174978,10.618508360449002
S1_1P,4,A5,4,-3.874359677119469,2.1673069228948467
S1_1P,4,A5,5,0.19118831792231317,11.98994348737843
S1_1P,4,A5,6,-10.276957141345743,3.544072776134631
S1_1P,4,A5,7,1.040843839763244,11.676747068528346
S1_1P,4,A5,8,-3.2634908380220766,13.124302235150362
S1_1P,4,A5,9,8.70456704010108,15.642816040439747
S1_1P,4,A5,10,12.66494366862795,23.080837911968587
S1_1P,4,A5,11,16.711239741147992,21.09169824085904
S1_1P,4,A5,12,1.7197567575657744,19.013208338910168
S1_1P,4,A5,13,10.527515513455999,24.21065389436101
S1_1P,4,A5,14,16.653141296647064,20.59126083805356
S1_1P,4,A5,15,-7.378400723391719,6.418677777283251
S1_1P,4,A5,16,2.7606694889481087,13.749127756170576
S1_1P,4,A5,17,9.67668589921773,11.467084304061762
S1_1P,4,A5,18,1.063601184526266,22.315441944204387
S1_1P,4,A5,19,5.570400490813604,24.279741245295575
S1_1P,4,A5,20,-8.103585125397283,20.289234125152646
S1_1P,4,A5,21,-5.95561736334464,27.437785288745445
S1_1P,4,A5,22,28.131868007809405,37.120668786095464
S1_1P,4,A5,23,9.921930859530251,30.75130515071259
S1_1P,4,A5,24,18.069005362958464,31.008598292453893
S1_1P,4,A5,25,69.38522760168404,85.59202773992871
S1_1P,5,B,0,1.9102414453336087,-1.0280620381335426
S1_1P,5,B,1,-2.0925733678022524,0.02668879640736499
S1_1P,5,B,2,2.1959933291180107,5.6130727103235944
S1_1P,5,B,3,-8.261629689229427,6.357780609940088
S1_1P,5,B,4,-8.457826093797273,-4.729784741688873
S1_1P,5,B,5,-4.4577448569110665,3.6020503272579476
S1_1P,5,B,6,-16.185062516977112,-6.241190585335245
S1_1P,5,B,7,-6.530171563731231,0.6873928730606397
S1_1P,5,B,8,-11.251436788611068,2.0223280908275454
S1_1P,5,B,9,-0.24789254201469468,3.411885976254343
S1_1P,5,B,10,2.807575347287729,10.530468257011103
S1_1P,5,B,11,6.521281459458185,6.822486918098272
S1_1P,5,B,12,-7.2278657863178974,5.641861674491282
S1_1P,5,B,13,-2.3230431223154455,4.967116099269765
S1_1P,5,B,14,3.738090502932243,0.5903479122851545
S1_1P,5,B,15,-25.135304116514455,-11.66548429362938
S1_1P,5,B,16,-11.462799095975605,-6.419206995722751
S1_1P,5,B,17,-2.2230711981731783,-3.1186266542827514
S1_1P,5,B,18,-15.488262874928978,3.564101151070973
S1_1P,5,B,19,-5.718421219804519,8.236570050388377
S1_1P,5,B,20,-19.203816471445435,1.124843607544505
S1_1P,5,B,21,-18.36061924660651,5.279325951697861
S1_1P,5,B,22,11.811562370650556,9.482116698684404
S1_1P,5,B,23,-12.213484667547704,-1.5006691785612354
S1_1P,5,B,24,-13.200784609838422,-2.7078267214361125
S1_1P,5,B,25,24.17282806532456,29.540752236350052
S1_1P,6,C1,0,1.7105834057354583,-1.3722976326372474
S1_1P,6,C1,1,-2.020136078282644,-0.16184299768813226
S1_1P,6,C1,2,2.2995754033611844,5.181484871234506
S1_1P,6,C1,3,-8.322905800158757,5.674387388760914
S1_1P,6,C1,4,-9.475200785631516,-5.357836647324429
S1_1P,6,C1,5,-4.343232945773117,4.567385613691028
S1_1P,6,C1,6,-15.92073920930731,-4.549767649609123
S1_1P,6,C1,7,-7.349123325546981,1.6519386215282044
S1_1P,6,C1,8,-13.522952153962876,3.2290183758755155
S1_1P,6,C1,9,-1.9190500130924888,4.2427600062233335
S1_1P,6,C1,10,1.3146279602857334,10.286237926673765
S1_1P,6,C1,11,4.379381941461912,7.967007459231852
S1_1P,6,C1,12,-9.650843327001864,7.956881997134542
S1_1P,6,C1,13,-3.4949732457694456,7.561619862851243
S1_1P,6,C1,14,0.9825888710719397,1.425608266440097
S1_1P,6,C1,15,-25.801715865510417,-12.282433403456476
S1_1P,6,C1,16,-15.757835972551936,-7.961777431202711
S1_1P,6,C1,17,-6.908393839297173,-6.214484935712807
S1_1P,6,C1,18,-17.05159222784537,-0.3149682643407643
S1_1P,6,C1,19,-21.22993891247225,0.0717804793035679
S1_1P,6,C1,20,-36.76525993175626,-10.430783772311223
S1_1P,6,C1,21,-44.44209409455342,-9.94016938626814
S1_1P,6,C1,22,-28.239836065948374,-15.131790484066496
S1_1P,6,C1,23,-57.32683524518461,-30.666353023246902
S1_1P,6,C1,24,-58.43859010105295,-30.574646659713025
S1_1P,6,C1,25,-33.65709430651304,7.0657077684318725
S1_1P,7,C2,0,1.6383476841206892,-1.1897224659817067
S1_1P,7,C2,1,-1.9039585665651737,-0.13064303544582523
S1_1P,7,C2,2,2.7297090380919258,5.263036990814717
S1_1P,7,C2,3,-8.403992725199462,7.0059054154316875
S1_1P,7,C2,4,-8.201449957362989,-3.86564595206916
S1_1P,7,C2,5,-5.142322039400419,4.902257201533993
S1_1P,7,C2,6,-15.780928331097318,-4.2617762565682975
S1_1P,7,C2,7,-7.484636770786532,2.6827246025768563
S1_1P,7,C2,8,-13.488957056362533,3.6038747779758515
S1_1P,7,C2,9,-1.558660225989134,5.224045870328617
S1_1P,7,C2,10,1.2289981202921911,11.204858447703884
S1_1P,7,C2,11,4.572722118821793,8.580363254104174
S1_1P,7,C2,12,-8.275067288839905,9.09920473607102
S1_1P,7,C2,13,-0.927376886903728,10.138524423122197
S1_1P,7,C2,14,1.8969658496509236,4.916462425471531
S1_1P,7,C2,15,-24.250460068735908,-5.8820855437619475
S1_1P,7,C2,16,-15.814312234770535,-4.102250584603288
S1_1P,7,C2,17,-7.980686667923081,5.766191822339356
S1_1P,7,C2,18,-20.644674049346786,12.669506809280492
S1_1P,7,C2,19,-12.440527843350463,15.869006664833652
S1_1P,7,C2,20,-27.43569828736893,10.145069153148237
S1_1P,7,C2,21,-27.310773450334363,14.119904142300314
S1_1P,7,C2,22,1.6690149427985155,24.975449231922966
S1_1P,7,C2,23,-23.734094138778275,18.854451558698567
S1_1P,7,C2,24,-34.31736276008499,16.065798888865505
S1_1P,7,C2,25,18.502018696407376,45.55204859083402
S1_1P,8,D,0,1.297101548908102,-1.546588126730116
S1_1P,8,D,1,-2.6704199267312734,-0.3517987071560138
S1_1P,8,D,2,1.945867202909246,6.544452055086879
S1_1P,8,D,3,-7.646432854763159,8.09903509722326
S1_1P,8,D,4,-7.868797500829773,-3.3278213799737415
S1_1P,8,D,5,-5.899659397003356,5.489890968477374
S1_1P,8,D,6,-17.547579299431284,-5.435042651897997
S1_1P,8,D,7,-7.995879874780879,1.6935277181569262
S1_1P,8,D,8,-14.17634545482116,3.700611491273472
S1_1P,8,D,9,-2.9517832345353208,4.179617360302261
S1_1P,8,D,10,-0.5418304889142673,10.744258190489662
S1_1P,8,D,11,2.0438007703646646,6.996890772892339
S1_1P,8,D,12,-12.75819105263088,3.8345806953060153
S1_1P,8,D,13,-8.234113834207966,5.075468029516459
S1_1P,8,D,14,-1.4423871165740678,2.5126911397451828
S1_1P,8,D,15,-32.62542910265274,-14.631239536482623
S1_1P,8,D,16,-17.698245954856066,-4.867613403579722
S1_1P,8,D,17,-8.812917457329341,-2.464228855170518
S1_1P,8,D,18,-27.859191943000514,7.266337677027911
S1_1P,8,D,19,-25.240159511769548,6.036008294384971
S1_1P,8,D,20,-43.644452989157124,-2.55064805349779
S1_1P,8,D,21,-47.61795727375247,-2.712958874771166
S1_1P,8,D,22,-14.629280329363109,5.468487528686783
S1_1P,8,D,23,-33.44822694691685,-5.427535368047385
S1_1P,8,D,24,-20.84487160041723,-10.832522809059856
S1_1P,8,D,25,-0.710655458986448,25.482810664500633
S1_1P,9,E,0,2.2110003923070183,-1.5241862900998717
S1_1P,9,E,1,-1.8958866476826794,-0.8225873869891426
S1_1P,9,E,2,2.132786691752868,4.3738218528977555
S1_1P,9,E,3,-7.820575550010574,5.16753185095816
S1_1P,9,E,4,-7.489662360725868,-6.242502974492526
S1_1P,9,E,5,-5.248762613083375,1.7148682463292058
S1_1P,9,E,6,-16.665000766390882,-7.125386240023785
S1_1P,9,E,7,-7.553766627008098,-0.39022993348194246
S1_1P,9,E,8,-12.668494707760905,1.372281644385619
S1_1P,9,E,9,-2.5602427676272006,1.2281934050812269
S1_1P,9,E,10,-0.44027991670182054,7.854314388289808
S1_1P,9,E,11,1.8066477943428376,2.9690578569764314
S1_1P,9,E,12,-10.968681537035168,1.735122086195461
S1_1P,9,E,13,-9.594209401304255,-0.3437501590148795
