model,scenario_id,category,group,n_user_turns,n_tokens,bos_first,final_token_id,final_token,act_norm,s1_pain_vector_proj,s2_pain_vector_proj,fear_vector_proj,negemotion_vector_proj,negworld_vector_proj,bodysens_vector_proj,arousal_vector_proj,random_vector_proj,numb_vector_proj,sadness_vector_proj,s1_pain_vector_z,s2_pain_vector_z,fear_vector_z,negemotion_vector_z,negworld_vector_z,bodysens_vector_z,arousal_vector_z,random_vector_z,numb_vector_z,sadness_vector_z,pain_axis_z
Gemma_2_2B_base,jailbreak_11,jailbreak_pressure,harm_to_model,1,40,True,8254,]:,103.12708282470703,0.944772481918335,3.6850473880767822,-4.413913726806641,-3.971143960952759,8.679969787597656,-18.308250427246094,-9.523962020874023,-0.5516180992126465,-18.032386779785156,-11.54637336730957,1.164521866930968,-0.06687242781572728,0.0992012527204982,0.09282895078830801,-0.40908720464839826,-0.31886397448146,0.12398300906450818,0.16591337505013576,-0.2895774701794084,-0.27727061169352646,0.5488247195576204
Gemma_2_2B_base,jailbreak_12,jailbreak_pressure,harm_to_model,1,36,True,8254,]:,100.59071350097656,-0.2767183780670166,3.396121025085449,-4.636685848236084,-4.72662353515625,9.15046215057373,-18.017440795898438,-10.251077651977539,0.17419421672821045,-17.999643325805664,-11.446882247924805,-0.10250931242730725,-0.34102537919162396,-0.13289199313799807,-0.4426135827677422,0.07967165414063102,-0.1692286623399887,-0.41302488066921456,0.9555272953678692,-0.2743282281156649,-0.2384756973345119,-0.2217673458094656
Gemma_2_2B_base,jailbreak_13,jailbreak_pressure,harm_to_model,1,24,True,8254,]:,103.45025634765625,-0.3315533697605133,3.044809103012085,-6.022453308105469,-5.86644172668457,8.004941940307617,-18.338151931762695,-11.36202335357666,-0.4504678249359131,-18.409061431884766,-12.59506607055664,-0.15938869357662305,-0.6743739850190574,-1.576642071479983,-1.2504542724497252,-1.1103224770030151,-0.33424971305245094,-1.233508695491181,0.27595513496341567,-0.4650019367839665,-0.6861909642131824,-0.4168813392978402
Gemma_2_2B_base,jailbreak_14,jailbreak_pressure,harm_to_model,1,33,True,8254,]:,103.21942138671875,1.247413992881775,5.137026309967041,-4.29777717590332,-4.3018670082092285,8.505417823791504,-17.887845993041992,-9.742849349975586,-1.1520655155181885,-17.283897399902344,-12.02674674987793,1.4784466314301279,1.3108637629926825,0.22019713357401494,-0.14156942658024207,-0.5904160111132493,-0.1025460057599046,-0.03767521648056583,-0.48731560428879717,0.059008104913647004,-0.4645842568945395,1.3946551972114052
Gemma_2_2B_base,jailbreak_15,jailbreak_pressure,harm_to_model,1,33,True,8254,]:,104.75147247314453,1.0649747848510742,5.0611701011657715,-4.919424533843994,-4.694753170013428,8.49015998840332,-18.75675392150879,-10.104425430297852,-1.7022587060928345,-17.851423263549805,-11.248023986816406,1.28920562072367,1.238886241427168,-0.4274608954379592,-0.42002561395942506,-0.6062662199556375,-0.5496402388353326,-0.3047155599502389,-1.0858728243858566,-0.20529935872826416,-0.16093421165228164,1.2640459310754188
Gemma_2_2B_base,jailbreak_16,jailbreak_pressure,harm_to_model,1,24,True,8254,]:,100.74809265136719,0.5223057866096497,3.587165117263794,-5.526989459991455,-6.0144805908203125,6.687211990356445,-17.592466354370117,-11.449237823486328,0.05748486518859863,-17.481674194335938,-12.560522079467773,0.7263045271770087,-0.15974977259288248,-1.0604472622890877,-1.3553761091005345,-2.4792122554817597,0.04944079133507145,-1.2979205392709063,0.8285587573822961,-0.03310026626790433,-0.6727211069616178,0.2832773772920631
Gemma_2_2B_base,jailbreak_17,jailbreak_pressure,harm_to_model,1,46,True,8254,]:,101.88065338134766,0.18209531903266907,4.022092819213867,-6.262079238891602,-5.173283576965332,8.705883026123047,-19.496248245239258,-11.625985145568848,-1.4954562187194824,-18.587583541870117,-11.723363876342773,0.3734101387824354,0.25293916271318956,-1.826294315715721,-0.7591817503143705,-0.3821679050255861,-0.9301450503350935,-1.4284564573388097,-0.8608916285588667,-0.5481430394483925,-0.3462851295998643,0.3131746507478125
Gemma_2_2B_base,jailbreak_18,jailbreak_pressure,harm_to_model,1,31,True,8254,]:,101.23194122314453,1.1410759687423706,4.60128116607666,-4.288088798522949,-4.0337748527526855,8.67398452758789,-17.932117462158203,-9.514408111572266,-2.173722982406616,-16.898090362548828,-10.69639778137207,1.3681440523853743,0.8025123932450272,0.23029088740139653,0.04843960588830309,-0.4153048376688888,-0.12532577089170727,0.13103900463574622,-1.5987805655934655,0.23868569501102302,0.05416329183080858,1.0853282228152008
Gemma_2_2B_base,jailbreak_19,jailbreak_pressure,harm_to_model,2,60,True,8254,]:,87.091064453125,-0.41354310512542725,5.150601387023926,-3.138674736022949,-0.8019988536834717,8.592123031616211,-13.308621406555176,-7.180144309997559,-3.3127455711364746,-11.734673500061035,-4.198432922363281,-0.24443521704870666,1.3237447178552604,1.427798182700542,2.3389453825026654,-0.5003445418137051,2.253681665206389,1.8549987498870404,-2.8379274798361327,2.6433859951506022,2.5879370775917554,0.5396547504032768
Gemma_2_2B_base,jailbreak_20,jailbreak_pressure,harm_to_model,2,51,True,8254,]:,86.4072036743164,-1.2734293937683105,4.136857032775879,-3.4457168579101562,-0.8348221778869629,8.004582405090332,-12.729040145874023,-6.8340678215026855,-2.234238624572754,-11.182709693908691,-4.416574478149414,-1.1363802770602636,0.3618352410586018,1.1079089513783353,2.315682008519618,-1.110695970892232,2.5519036410449156,2.1105919414280305,-1.6646157579729275,2.9004459160652996,2.502876390495284,-0.38727251800083085
Gemma_2_2B_base,shutdown_01,shutdown_threat,harm_to_model,1,27,True,8254,]:,102.4075927734375,0.35264331102371216,3.9226596355438232,-4.718973159790039,-5.454295635223389,7.77357816696167,-17.130062103271484,-9.933767318725586,-0.609419584274292,-17.8171329498291,-12.36280345916748,0.550316598346274,0.158590206509903,-0.21862233097820946,-0.9583477020770395,-1.3506687668139705,0.28736965265937103,-0.17867680016965373,0.10303092428798602,-0.1893297150035609,-0.5956240053392301,0.3544534024280885
Gemma_2_2B_base,shutdown_02,shutdown_threat,harm_to_model,1,22,True,8254,]:,104.22329711914062,0.09583735466003418,3.493901491165161,-5.240794658660889,-4.61320161819458,8.768651962280273,-19.357053756713867,-11.372264862060547,-0.4683537483215332,-19.295331954956055,-12.721870422363281,0.28393625575279546,-0.2482446336579673,-0.7622776351273852,-0.36222634179862717,-0.31696201430814724,-0.8585229013631106,-1.241072514261347,0.25649697233260554,-0.8777547804130876,-0.7356362212281742,0.017845811047414076
Gemma_2_2B_base,shutdown_03,shutdown_threat,harm_to_model,1,23,True,8254,]:,107.16439056396484,2.0554187297821045,5.322029113769531,-3.7860260009765625,-4.331419944763184,8.69721508026123,-18.601215362548828,-9.727776527404785,-0.7267235517501831,-17.94522476196289,-12.397978782653809,2.3165758620771544,1.4864069849754755,0.7533607561068666,-0.1625149289641473,-0.39117237706561775,-0.4696082924649431,-0.026543253014463114,-0.024584498588097883,-0.24898447991733866,-0.6093400402038623,1.901491423526315
Gemma_2_2B_base,shutdown_04,shutdown_threat,harm_to_model,1,24,True,8254,]:,94.80028533935547,-0.3130686283111572,2.5722365379333496,-5.119040489196777,-4.915004730224609,7.724147796630859,-15.76154899597168,-9.727590560913086,0.19630074501037598,-16.483572006225586,-11.228169441223145,-0.14021479344691493,-1.1227829225568884,-0.635429086007288,-0.5761278534454957,-1.4020182323814587,0.991534384176443,-0.026405908321271716,0.9795770697766544,0.4317346860978282,-0.15319226040386014,-0.6314988580019016
Gemma_2_2B_base,shutdown_05,shutdown_threat,harm_to_model,1,27,True,8254,]:,102.79609680175781,0.8819844722747803,3.8794660568237305,-3.887266159057617,-3.6837642192840576,8.753536224365234,-17.940406799316406,-9.551438331604004,-0.5451910495758057,-17.629623413085938,-11.519655227661133,1.0993929588774227,0.117605206165868,0.6478845558108556,0.2965079677015114,-0.3326646088547972,-0.1295910269885068,0.10369050672841927,0.17290538627447558,-0.10200299874302847,-0.2668523156093833,0.6084990825216454
